base_date,date,etf_code,etf_name,etf_type,base_index,cu_size,listing_date,delisting_date,mktcap,close,ret,nav,disparity,shares_out,num_cu,cu_value
20260702,20260706,A0074K0,KoAct K수출핵심기업TOP30액티브,일반,KEDI K수출핵심기업TOP30 지수(PR),50000.0,20250708,,153220.5,19395.0,-1.7,19356.74,0.2,7900000.0,158.0,967837000.0000001
20260702,20260707,A0074K0,KoAct K수출핵심기업TOP30액티브,일반,KEDI K수출핵심기업TOP30 지수(PR),50000.0,20250708,,145360.0,18400.0,-5.13,18368.96,0.17,7900000.0,158.0,918448000.0
20260702,20260708,A0074K0,KoAct K수출핵심기업TOP30액티브,일반,KEDI K수출핵심기업TOP30 지수(PR),50000.0,20250708,,134932.0,17080.0,-7.17,17070.55,0.06,7900000.0,158.0,853527500.0
20260702,20260709,A0074K0,KoAct K수출핵심기업TOP30액티브,일반,KEDI K수출핵심기업TOP30 지수(PR),50000.0,20250708,,137018.25,17235.0,0.91,17127.79,0.63,7950000.0,159.0,856389500.0
20260702,20260703,A0080G0,KODEX 방산TOP10,일반,iSelect 방산 TOP10 지수(Price Return),100000.0,20250715,,408811.0,12095.0,2.85,12084.83,0.08,33800000.0,338.0,1208483000.0
20260702,20260706,A0080G0,KODEX 방산TOP10,일반,iSelect 방산 TOP10 지수(Price Return),100000.0,20250715,,412529.0,12205.0,0.91,12238.97,-0.28,33800000.0,338.0,1223897000.0
20260702,20260707,A0080G0,KODEX 방산TOP10,일반,iSelect 방산 TOP10 지수(Price Return),100000.0,20250715,,398664.0,11760.0,-3.65,11750.99,0.08,33900000.0,339.0,1175099000.0
20260702,20260708,A0080G0,KODEX 방산TOP10,일반,iSelect 방산 TOP10 지수(Price Return),100000.0,20250715,,356714.5,10585.0,-9.99,10678.98,-0.88,33700000.0,337.0,1067898000.0
20260702,20260709,A0080G0,KODEX 방산TOP10,일반,iSelect 방산 TOP10 지수(Price Return),100000.0,20250715,,352602.0,10310.0,-2.6,10428.24,-1.13,34200000.0,342.0,1042824000.0
20260702,20260703,A0080Y0,SOL 조선TOP3플러스레버리지,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,100000.0,20250715,,148132.0,12770.0,1.83,12697.78,0.57,11600000.0,116.0,1269778000.0
20260702,20260706,A0080Y0,SOL 조선TOP3플러스레버리지,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,100000.0,20250715,,156838.5,13405.0,4.97,13464.32,-0.44,11700000.0,117.0,1346432000.0
20260702,20260707,A0080Y0,SOL 조선TOP3플러스레버리지,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,100000.0,20250715,,127822.5,10925.0,-18.5,10882.98,0.39,11700000.0,117.0,1088298000.0
20260702,20260708,A0080Y0,SOL 조선TOP3플러스레버리지,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,100000.0,20250715,,110448.0,9360.0,-14.32,9489.48,-1.36,11800000.0,118.0,948948000.0
20260702,20260709,A0080Y0,SOL 조선TOP3플러스레버리지,레버리지,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,100000.0,20250715,,106177.5,9075.0,-3.04,8959.39,1.29,11700000.0,117.0,895939000.0
20260702,20260703,A0088N0,WON K-글로벌수급상위,일반,DeepSearch 외인수급 Top20 지수,50000.0,20250812,,17110.0,11800.0,0.08,11778.81,0.18,1450000.0,29.0,588940500.0
20260702,20260706,A0088N0,WON K-글로벌수급상위,일반,DeepSearch 외인수급 Top20 지수,50000.0,20250812,,16580.75,11435.0,-3.09,11472.54,-0.33,1450000.0,29.0,573627000.0
20260702,20260707,A0088N0,WON K-글로벌수급상위,일반,DeepSearch 외인수급 Top20 지수,50000.0,20250812,,16319.75,11255.0,-1.57,11233.33,0.19,1450000.0,29.0,561666500.0
20260702,20260708,A0088N0,WON K-글로벌수급상위,일반,DeepSearch 외인수급 Top20 지수,50000.0,20250812,,15283.0,10540.0,-6.35,10523.88,0.15,1450000.0,29.0,526193999.99999994
20260702,20260709,A0088N0,WON K-글로벌수급상위,일반,DeepSearch 외인수급 Top20 지수,50000.0,20250812,,15225.0,10500.0,-0.38,10445.65,0.52,1450000.0,29.0,522282500.0
20260702,20260703,A0089D0,KODEX 금융고배당TOP10,일반,코스피 200 금융 고배당 TOP 10 지수,100000.0,20250812,,234900.0,13500.0,3.85,13553.25,-0.39,17400000.0,174.0,1355325000.0
20260702,20260706,A0089D0,KODEX 금융고배당TOP10,일반,코스피 200 금융 고배당 TOP 10 지수,100000.0,20250812,,238728.0,13720.0,1.63,13750.96,-0.23,17400000.0,174.0,1375096000.0
20260702,20260707,A0089D0,KODEX 금융고배당TOP10,일반,코스피 200 금융 고배당 TOP 10 지수,100000.0,20250812,,238902.0,13730.0,0.07,13792.92,-0.46,17400000.0,174.0,1379292000.0
20260702,20260708,A0089D0,KODEX 금융고배당TOP10,일반,코스피 200 금융 고배당 TOP 10 지수,100000.0,20250812,,234726.0,13490.0,-1.75,13474.35,0.12,17400000.0,174.0,1347435000.0
20260702,20260709,A0089D0,KODEX 금융고배당TOP10,일반,코스피 200 금융 고배당 TOP 10 지수,100000.0,20250812,,227853.0,13095.0,-2.93,13141.63,-0.35,17400000.0,174.0,1314163000.0
20260702,20260703,A0090B0,PLUS K방산소부장,일반,Akros K방산소부장 지수(PR),50000.0,20250826,,13356.75,8095.0,2.08,8061.24,0.42,1650000.0,33.0,403062000.0
20260702,20260706,A0090B0,PLUS K방산소부장,일반,Akros K방산소부장 지수(PR),50000.0,20250826,,14586.0,8580.0,5.99,8544.63,0.41,1700000.0,34.0,427231499.99999994
20260702,20260707,A0090B0,PLUS K방산소부장,일반,Akros K방산소부장 지수(PR),50000.0,20250826,,13625.5,8015.0,-6.59,8055.02,-0.5,1700000.0,34.0,402751000.0
20260702,20260708,A0090B0,PLUS K방산소부장,일반,Akros K방산소부장 지수(PR),50000.0,20250826,,11936.0,7460.0,-6.92,7515.13,-0.73,1600000.0,32.0,375756500.0
20260702,20260709,A0090B0,PLUS K방산소부장,일반,Akros K방산소부장 지수(PR),50000.0,20250826,,11896.0,7435.0,-0.34,7379.52,0.75,1600000.0,32.0,368976000.0
20260702,20260703,A0091P0,TIGER 코리아원자력,일반,iSelect 코리아 원자력 지수 (Price Return),50000.0,20250819,,570475.75,16705.0,0.75,16639.28,0.39,34150000.0,683.0,831964000.0
20260702,20260706,A0091P0,TIGER 코리아원자력,일반,iSelect 코리아 원자력 지수 (Price Return),50000.0,20250819,,564984.0,16520.0,-1.11,16585.52,-0.4,34200000.0,684.0,829276000.0
20260702,20260707,A0091P0,TIGER 코리아원자력,일반,iSelect 코리아 원자력 지수 (Price Return),50000.0,20250819,,543312.0,15840.0,-4.12,15798.62,0.26,34300000.0,686.0,789931000.0
20260702,20260708,A0091P0,TIGER 코리아원자력,일반,iSelect 코리아 원자력 지수 (Price Return),50000.0,20250819,,498933.75,14525.0,-8.3,14579.92,-0.38,34350000.0,687.0,728996000.0
20260702,20260709,A0091P0,TIGER 코리아원자력,일반,iSelect 코리아 원자력 지수 (Price Return),50000.0,20250819,,498036.0,14520.0,-0.03,14604.13,-0.58,34300000.0,686.0,730206500.0
20260702,20260703,A0092B0,SOL 한국원자력SMR,일반,FnGuide 한국원자력 SMR 지수(PR),50000.0,20250819,,129842.5,15550.0,0.06,15576.78,-0.17,8350000.0,167.0,778839000.0
20260702,20260706,A0092B0,SOL 한국원자력SMR,일반,FnGuide 한국원자력 SMR 지수(PR),50000.0,20250819,,129425.0,15500.0,-0.32,15549.06,-0.32,8350000.0,167.0,777453000.0
20260702,20260707,A0092B0,SOL 한국원자력SMR,일반,FnGuide 한국원자력 SMR 지수(PR),50000.0,20250819,,123090.0,14920.0,-3.74,14916.0,0.03,8250000.0,165.0,745800000.0
20260702,20260708,A0092B0,SOL 한국원자력SMR,일반,FnGuide 한국원자력 SMR 지수(PR),50000.0,20250819,,113478.75,13755.0,-7.81,13810.78,-0.4,8250000.0,165.0,690539000.0
20260702,20260709,A0092B0,SOL 한국원자력SMR,일반,FnGuide 한국원자력 SMR 지수(PR),50000.0,20250819,,111492.0,13680.0,-0.55,13743.04,-0.46,8150000.0,163.0,687152000.0
20260702,20260703,A0093A0,RISE AI반도체TOP10,일반,FnGuide AI반도체TOP10 지수,50000.0,20250826,,198952.0,38260.0,5.57,38251.03,0.02,5200000.0,104.0,1912551500.0
20260702,20260706,A0093A0,RISE AI반도체TOP10,일반,FnGuide AI반도체TOP10 지수,50000.0,20250826,,192582.0,37035.0,-3.2,36978.9,0.15,5200000.0,104.0,1848945000.0
20260702,20260707,A0093A0,RISE AI반도체TOP10,일반,FnGuide AI반도체TOP10 지수,50000.0,20250826,,185270.5,34630.0,-6.49,34766.79,-0.39,5350000.0,107.0,1738339500.0
20260702,20260708,A0093A0,RISE AI반도체TOP10,일반,FnGuide AI반도체TOP10 지수,50000.0,20250826,,177125.0,32500.0,-6.15,32442.16,0.18,5450000.0,109.0,1622108000.0
20260702,20260709,A0093A0,RISE AI반도체TOP10,일반,FnGuide AI반도체TOP10 지수,50000.0,20250826,,185259.0,33380.0,2.71,33363.82,0.05,5550000.0,111.0,1668191000.0
20260702,20260703,A0094M0,RISE 코리아밸류업위클리고정커버드콜,일반,코리아 밸류업 위클리 커버드콜 30% 지수,50000.0,20250902,,155125.0,21250.0,3.16,21127.34,0.58,7300000.0,146.0,1056367000.0
20260702,20260706,A0094M0,RISE 코리아밸류업위클리고정커버드콜,일반,코리아 밸류업 위클리 커버드콜 30% 지수,50000.0,20250902,,156214.0,21110.0,-0.66,21099.81,0.05,7400000.0,148.0,1054990500.0000001
20260702,20260707,A0094M0,RISE 코리아밸류업위클리고정커버드콜,일반,코리아 밸류업 위클리 커버드콜 30% 지수,50000.0,20250902,,154660.0,20350.0,-3.6,20424.11,-0.36,7600000.0,152.0,1021205500.0
20260702,20260708,A0094M0,RISE 코리아밸류업위클리고정커버드콜,일반,코리아 밸류업 위클리 커버드콜 30% 지수,50000.0,20250902,,152248.75,19645.0,-3.46,19570.55,0.38,7750000.0,155.0,978527500.0
20260702,20260709,A0094M0,RISE 코리아밸류업위클리고정커버드콜,일반,코리아 밸류업 위클리 커버드콜 30% 지수,50000.0,20250902,,155037.5,19750.0,0.53,19634.09,0.59,7850000.0,157.0,981704500.0
20260702,20260703,A0098F0,KODEX 원자력SMR,일반,iSelect 원자력SMR 지수(Price Return),50000.0,20250916,,219518.75,15965.0,0.73,15930.55,0.22,13750000.0,275.0,796527500.0
20260702,20260706,A0098F0,KODEX 원자력SMR,일반,iSelect 원자력SMR 지수(Price Return),50000.0,20250916,,219282.0,15890.0,-0.47,15961.6,-0.45,13800000.0,276.0,798080000.0
20260702,20260707,A0098F0,KODEX 원자력SMR,일반,iSelect 원자력SMR 지수(Price Return),50000.0,20250916,,210312.25,15185.0,-4.44,15245.65,-0.4,13850000.0,277.0,762282500.0
20260702,20260708,A0098F0,KODEX 원자력SMR,일반,iSelect 원자력SMR 지수(Price Return),50000.0,20250916,,195573.0,14070.0,-7.34,14115.34,-0.32,13900000.0,278.0,705767000.0
20260702,20260709,A0098F0,KODEX 원자력SMR,일반,iSelect 원자력SMR 지수(Price Return),50000.0,20250916,,190895.25,13985.0,-0.6,14051.32,-0.47,13650000.0,273.0,702566000.0
20260702,20260703,A0098N0,PLUS 자사주매입고배당주,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),50000.0,20250916,,82592.25,12805.0,2.73,12827.39,-0.17,6450000.0,129.0,641369500.0
20260702,20260706,A0098N0,PLUS 자사주매입고배당주,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),50000.0,20250916,,81081.0,12870.0,0.51,12909.8,-0.31,6300000.0,126.0,645490000.0
20260702,20260707,A0098N0,PLUS 자사주매입고배당주,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),50000.0,20250916,,81931.5,13005.0,1.05,13058.72,-0.41,6300000.0,126.0,652936000.0
20260702,20260708,A0098N0,PLUS 자사주매입고배당주,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),50000.0,20250916,,81207.0,12890.0,-0.88,12869.54,0.16,6300000.0,126.0,643477000.0
20260702,20260709,A0098N0,PLUS 자사주매입고배당주,일반,FnGuide 고배당주 플러스 자사주 지수 (PR),50000.0,20250916,,78939.0,12530.0,-2.79,12690.47,-1.26,6300000.0,126.0,634523500.0
20260702,20260703,A0098Z0,FOCUS 200,일반,코스피 200,50000.0,20250923,,67374.0,112290.0,6.99,111567.99,0.65,600000.0,12.0,5578399500.0
20260702,20260706,A0098Z0,FOCUS 200,일반,코스피 200,50000.0,20250923,,77364.0,110520.0,-1.58,111067.87,-0.49,700000.0,14.0,5553393500.0
20260702,20260707,A0098Z0,FOCUS 200,일반,코스피 200,50000.0,20250923,,72943.5,104205.0,-5.71,105338.23,-1.08,700000.0,14.0,5266911500.0
20260702,20260708,A0098Z0,FOCUS 200,일반,코스피 200,50000.0,20250923,,69776.0,99680.0,-4.34,99630.8,0.05,700000.0,14.0,4981540000.0
20260702,20260709,A0098Z0,FOCUS 200,일반,코스피 200,50000.0,20250923,,75386.25,100515.0,0.84,100538.41,-0.02,750000.0,15.0,5026920500.0
20260702,20260703,A0100K0,KODEX 방산TOP10레버리지,레버리지,iSelect 방산 TOP10 레버리지 지수,100000.0,20250916,,52110.0,9650.0,5.93,9688.91,-0.4,5400000.0,54.0,968891000.0
20260702,20260706,A0100K0,KODEX 방산TOP10레버리지,레버리지,iSelect 방산 TOP10 레버리지 지수,100000.0,20250916,,54000.0,10000.0,3.63,9917.38,0.83,5400000.0,54.0,991737999.9999999
20260702,20260707,A0100K0,KODEX 방산TOP10레버리지,레버리지,iSelect 방산 TOP10 레버리지 지수,100000.0,20250916,,49140.0,9100.0,-9.0,9069.64,0.33,5400000.0,54.0,906964000.0
20260702,20260708,A0100K0,KODEX 방산TOP10레버리지,레버리지,iSelect 방산 TOP10 레버리지 지수,100000.0,20250916,,40203.0,7445.0,-18.19,7411.62,0.45,5400000.0,54.0,741162000.0
20260702,20260709,A0100K0,KODEX 방산TOP10레버리지,레버리지,iSelect 방산 TOP10 레버리지 지수,100000.0,20250916,,37260.0,6900.0,-7.32,7020.11,-1.71,5400000.0,54.0,702011000.0
20260702,20260703,A0101N0,RISE AI전력인프라,일반,KRX-Akros AI 전력인프라 지수,50000.0,20250923,,688297.5,22275.0,-2.11,22172.31,0.46,30900000.0,618.0,1108615500.0
