,Account,W200300,R102300,W202100,W200100,S102100,S102100,S102100,S102100,S102100,S100100,S100100,S100100,S100100,S100100,S100500,S100500,S100500,S100500,S100500,W201100,W201100,W201100,W201100,W201100,W201200,W201200,W201200,W201200,W201200,S101500,S101500,S101500,S101500,S101500,W402600,,,,,
,Period, ,,, ,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,20260629,20260630,20260701,20260702,20260626,num_cu_20260626,num_cu_20260629,num_cu_20260630,num_cu_20260701,num_cu_20260702
,Unit,Txt,Txt,Txt,Txt,Local mn,Local mn,Local mn,Local mn,Local mn,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Local/Shares,Local/Shares,Local/Shares,Local/Shares,Local/Shares,%,%,%,%,%,Shares,Shares,Shares,Shares,Shares,X,,,,,
,Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,상장일,상장폐지일,"ETF레버리지,인버스구분",ETF기초지수명,시가총액,시가총액,시가총액,시가총액,시가총액,종가,종가,종가,종가,종가,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,수정주가수익률,ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF순자산가치(NAV),ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,ETF괴리율,상장주식수,상장주식수,상장주식수,상장주식수,상장주식수,CU구성좌수,,,,,
A0105E0,SOL 코리아고배당,20250923,,일반,FnGuide 코리아 고배당 지수(PR),512493,528346.25,530248,534876,539301,12290,12655,12640,12720,12810,-3.65,2.97,-0.12,0.63,0.71,12307.12,12670.6,12616.08,12743.22,12894.67,-0.14,-0.12,0.19,-0.18,-0.66,41700000,41750000,41950000,42050000,42100000,50000,834,835,839,841,842
A0111J0,HANARO 증권고배당TOP3플러스,20251028,,일반,FnGuide 증권 고배당 TOP3 플러스 지수,62585.25,67431,67704,68841.5,65997.75,13755,14820,14880,15130,14505,-6.62,8.06,0.4,1.68,-4.13,13774.84,14760.18,14833.12,15155.06,14484.73,-0.14,0.41,0.32,-0.17,0.14,4550000,4550000,4550000,4550000,4550000,50000,91,91,91,91,91
A0112X0,마이티 200TR,20251028,,일반,코스피 200 TR지수,38827.5,38392.5,39090,37740,34732.5,51770,51190,52120,50320,46310,-5.97,-1.12,1.82,-3.45,-7.97,51601.95,51081.23,51766.84,50427.24,46046.81,0.33,0.21,0.68,-0.21,0.57,750000,750000,750000,750000,750000,50000,15,15,15,15,15
A0115D0,KODEX 조선TOP10,20251028,,일반,KRX 조선 TOP10 지수,194311.5,206758.5,203728.75,210015,207298,8430,8970,8725,8975,8840,-5.17,6.41,-2.73,2.87,-1.5,8412.38,8967.44,8675.73,8984.95,8809.92,0.21,0.03,0.57,-0.11,0.34,23050000,23050000,23350000,23400000,23450000,50000,461,461,467,468,469
A0115E0,KODEX 코리아소버린AI,20251021,,일반,KRX 코리아 소버린 AI 지수,70600,73900,74300,74349,70859.25,14120,14780,14860,15020,14315,-3.58,4.67,0.54,1.08,-4.69,14169.13,14753.03,14833.3,14997.24,14464.39,-0.35,0.18,0.18,0.15,-1.03,5000000,5000000,5000000,4950000,4950000,50000,100,100,100,99,99
A0117V0,TIGER 코리아AI전력기기TOP3플러스,20251021,,일반,KEDI 코리아AI전력기기TOP3플러스 지수,989267.5,1073425.5,1123220,1213026.5,1127244.5,19825,21490,22600,24605,22865,-6.95,8.4,5.17,8.87,-7.07,19923.63,21395.46,22527.21,24551.49,22799.54,-0.5,0.44,0.32,0.22,0.29,49900000,49950000,49700000,49300000,49300000,50000,998,999,994,986,986
A0120J0,BNK 카카오그룹포커스,20251202,,일반,FnGuide 카카오그룹 포커스 지수,9262.5,9997,9912.5,10010,10283,7125,7690,7625,7700,7910,-4.55,7.93,-0.85,0.98,2.73,7137.22,7749.47,7589.8,7673.44,7876.35,-0.17,-0.77,0.46,0.35,0.43,1300000,1300000,1300000,1300000,1300000,50000,26,26,26,26,26
A0138D0,RISE 동학개미,20251216,,일반,FnGuide 동학개미 지수,11452,12008,12252,12484,11420,14315,15010,15315,15605,14275,-6.1,4.86,2.03,1.89,-8.52,14265.08,15104.88,15221.8,15637.33,14347.13,0.35,-0.63,0.61,-0.21,-0.5,800000,800000,800000,800000,800000,50000,16,16,16,16,16
A0139P0,ACE 고배당주,20251216,,일반,KRX-Akros 고배당주 20 지수,50000,52140,51600,52300,52900,12500,13035,12900,13075,13225,-2.46,4.7,-1.04,1.36,1.15,12430.29,13027.67,12887.53,13125.13,13281.14,0.56,0.06,0.1,-0.38,-0.42,4000000,4000000,4000000,4000000,4000000,50000,80,80,80,80,80
A0141S0,SOL 조선기자재,20251216,,일반,FnGuide 조선기자재 지수(PR),63828,69228,69094.5,72890.5,69350,8865,9615,9465,9985,9500,-6.83,8.46,-1.56,5.49,-4.86,8915.64,9609.41,9427.59,9983.43,9481.72,-0.57,0.06,0.4,0.02,0.19,7200000,7200000,7300000,7300000,7300000,50000,144,144,146,146,146
